Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,498,508,7.27E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,498,509,8.00E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,497,509,8.73E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,497,509,8.73E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,497,508,8.00E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,497,509,8.73E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,496,510,1.02E-03,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,497,510,9.46E-04,97.4,94,2,1/4/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,522,533,7.97E-04,97.5,94.3,2,2/5/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,516,536,1.45E-03,97.5,94.3,2,3/1/2023,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,573,590,1.22E-03,97.7,96.3,2,3/12/2018,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,525,535,7.25E-04,97.5,95.2,2,24/1/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,525,535,7.25E-04,97.5,95.2,2,24/1/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,573,589,1.15E-03,97.7,96.3,2,3/12/2018,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,526,535,6.52E-04,97.5,95.2,2,24/1/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,573,589,1.15E-03,97.7,96.3,2,3/12/2018,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,506,543,2.68E-03,97.5,94.3,2,15/3/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,512,536,1.74E-03,97.5,94.3,2,30/6/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,506,543,2.68E-03,97.5,94.3,2,15/3/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,507,543,2.61E-03,97.5,94.3,2,15/3/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,506,543,2.68E-03,97.5,94.3,2,15/3/2022,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,512,536,1.74E-03,97.5,94.3,2,30/6/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,512,536,1.74E-03,97.5,94.3,2,30/6/2021,2
USA,Swarm Technologies,Commercial,Communications,LEO,Sun-Synchronous,0,512,536,1.74E-03,97.5,94.3,2,30/6/2021,2
USA,Hughes Space and Communications Co. ,Commercial,Communications,GEO,,-94.93,"35,785","35,787",2.37E-05,0.06,1436.1,"6,100",14/8/2007,12
USA,"DirecTV, Inc.",Commercial,Communications,GEO,,-99.08,"35,785","35,787",2.37E-05,0.04,1436.1,"5,993",16/11/2005,12.5
Spain,Hisdesat/Ministry of Defense,Military,Communications,GEO,,-30,"35,745","35,826",9.61E-04,0.06,1436.1,"3,680",11/3/2006,
Sweden,Air Force Research Laboratory/Swedish Defense Materiel Administration,Military,Technology Development,LEO,Non-Polar Inclined,0,493,511,1.31E-03,40.02,94.7,8,5/5/2019,
China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation,LEO,Sun-Synchronous,0,690,725,2.47E-03,98.15,98.94,50,21/12/2016,
USA,Omnispace,Commercial,Communications,LEO,Sun-Synchronous,0,638,656,1.28E-03,97.8,98,20,1/4/2022,
China,Shanghai Engineering Center for Microsatellites,Government,Earth Observation,LEO,Sun-Synchronous,0,690,727,2.61E-03,98.15,98.96,50,21/12/2016,
Bulgaria,Endurosat,Commercial,Technology Development,LEO,Sun-Synchronous,0,519,532,9.43E-04,97.5,95.1,10,30/6/2021,
Multinational,Astro Space Center of Moscow/Russian Academy of Sciences,Government,Space Science,Elliptical,Cislunar,0,"1,000","330,000",9.57E-01,51.46,11520,"3,660",18/7/2011,5
France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,,0,240,"31,342",7.02E-01,2,547,117,11/2/2009,
France,Ministry of Defense/General Delegation for Ordnance (DGA),Military,Technology Development,Elliptical,,0,389,"17,480",5.58E-01,2.1,314,117,11/2/2009,
France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,0,696,699,2.12E-04,98.2,98.73,720,9/9/2012,10
France/Belgium/Sweden,Spot Image,Commercial,Earth Observation,LEO,Sun-Synchronous,0,643,660,1.21E-03,98.2,97.77,714,30/6/2014,10
Japan,Nihon University,Civil,Technology Development,LEO,Sun-Synchronous,0,614,629,1.07E-03,97.87,97.13,7,24/5/2014,
India,SRM University,Civil,Technology Development,LEO,Non-Polar Inclined,0,850,868,1.24E-03,20,102.1,11,12/10/2011,1
Sudan,Government of Sudan,Government,Earth Observation,LEO,Sun-Synchronous,0,485,505,1.46E-03,97.5,94.5,50,3/11/2019,
Chile,Chilean Air Force,Government/Military,Earth Observation,LEO,Sun-Synchronous,0,622,624,1.43E-04,98,97.2,117,17/12/2011,
China,Beihang University/APSCO,Civil,Technology Development,LEO,Sun-Synchronous,0,502,522,1.45E-03,97.5,97.2,30,14/10/2021,
China,"Beijing ZeroG Space Technology Co., Ltd./Hong Kong Aerospace Tech Group",Commercial,Earth Observation,LEO,Sun-Synchronous,0,502,522,1.45E-03,97.4,94.7,10,14/10/2021,
Multinational,Asia-Pacific Space Cooperation Organization (APSCO),Civil,Technology Development,LEO,Sun-Synchronous,0,495,508,9.46E-04,97.5,97.2,4,15/4/2023,
United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,0,574,591,1.22E-03,97.8,96.3,440,16/9/2018,
Singapore/Taiwan,Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.,Commercial,Communications,GEO,,87.99,"35,783","35,791",9.49E-05,0.02,1436.12,"5,090",20/5/2011,15
Brazil,Embratel Star One,Commercial,Communications,GEO,,-64.98,"35,703","35,778",8.91E-04,0.03,1436,"4,100",14/11/2007,15
Brazil,Embratel Star One,Commercial,Communications,GEO,,-69.93,"35,776","35,796",2.37E-04,0.06,1436.1,"4,100",18/4/2008,
Brazil,Embratel Star One,Commercial,Communications,GEO,,-75,"35,791","35,848",6.76E-04,0.02,1437.78,"3,225",10/11/2012,15
Brazil,Embratel Star One,Commercial,Communications,GEO,,-70,"35,786","35,801",1.78E-04,0,1436.1,"5,634",15/7/2015,15
Brazil,Embratel Star One,Commercial,Communications,GEO,,-84,"35,741","35,777",4.27E-04,0,1434.7,"6,433",21/12/2016,15
Brazil,Embratel Star One,Commercial,Communications,GEO,,0,"35,781","35,806",2.96E-04,0,1436.1,"6,190",30/7/2021,15
Japan,Sony,Commercial,Space Science,LEO,Sun-Synchronous,0,503,520,1.24E-03,97.5,94.7,10,3/1/2023,
USA/Poland,Scanway/German Orbital Systems,Commercial,Technology Demonstration,LEO,Sun-Synchronous,0,526,538,8.69E-04,97.5,94.7,10,3/1/2023,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,559,561,1.44E-04,53,95.9,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.5,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,533,535,1.45E-04,53,95.3,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,496,506,7.28E-04,53,94.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,559,561,1.44E-04,53,95.8,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,550,7.23E-05,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,569,571,1.44E-04,53,96,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,383,390,5.18E-04,53,92.3,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,554,556,1.44E-04,53,95.7,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,569,571,1.44E-04,53,96,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,553,556,2.17E-04,53,95.7,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,95.6,227,11/11/2019,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.6,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.6,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,320,321,7.47E-05,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.3,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.3,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,550,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.6,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.6,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,548,551,2.17E-04,53,90.6,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,91.2,227,17/2/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,91.2,227,17/2/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.4,227,7/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,91.2,227,17/2/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,301,313,8.99E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
USA,SpaceX,Commercial,Communications,LEO,Non-Polar Inclined,0,549,551,1.45E-04,53,90.5,227,29/1/2020,
