Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,,-3.99,"35,783","35,789",7.12E-05,0.04,1436.1,,28/4/2008,12
Israel,Space-Communication Ltd.,Military/Commercial,Communications,GEO,,65,"35,633","35,796",1.94E-03,0.01,1432,,31/8/2013,12
USA,AMSAT-NA,Civil,Communications,LEO,Polar,0,"1,440","1,459",1.21E-03,101.4,114.9,29,15/11/1974,
South Korea,Agency for Defense Development,Military,Communications,GEO,,115.9,"35,781","35,792",1.30E-04,0.01,1436.1,,20/7/2020,15
USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,LEO,Sun-Synchronous,0,582,600,1.29E-03,97.7,96.5,9,13/6/2020,
ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,LEO,Sun-Synchronous,0,509,524,1.09E-03,97.4,94.9,18,18/12/2019,
Angola,AngoSat,Government,Communications,LEO,,23,"35,782","35,791",1.07E-04,0.02,,"2,150",12/10/2022,
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.27,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710",21/11/2000,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.3,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",9/9/2005,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-111.07,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910",18/7/2004,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-118.69,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",9/4/2007,15
Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,,-107.3,"35,773","35,799",3.08E-04,0.01,1436.08,"4,905",15/4/2013,15
Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,LEO,Sun-Synchronous,0,696,764,4.79E-03,98,99.4,12,29/6/2004,
USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,613,733,8.52E-03,97.9,98,12,19/6/2014,
USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,LEO,Sun-Synchronous,0,694,850,1.09E-02,98.2,100.3,12,29/6/2004,
USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,559,662,7.38E-03,98.18,97,12,29/7/2009,
USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,604,674,4.99E-03,98.1,97.5,12,29/7/2009,
Canada,"Aprize Satellite, Argentina",Commercial,Communications,LEO,Sun-Synchronous,0,610,694,5.98E-03,98.2,97.8,12,17/8/2011,
Canada,"Aprize Satellite, Argentina",Commercial,Communications,LEO,Sun-Synchronous,0,594,653,4.22E-03,97.8,97.17,12,21/11/2013,
USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,594,669,5.36E-03,97.8,97.99,12,21/11/2013,
USA,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0,613,715,7.25E-03,97.9,98,12,19/6/2014,
China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,134,"35,783","35,790",8.30E-05,0.05,1436.1,,3/5/2018,15
China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,134,"35,785","35,885",1.18E-03,0.01,1438.5,"5,550",9/7/2020,15
China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,134,"35,700","35,700",0.00E+00,0,1436,"4,300",12/1/2023,15
China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,76.5,"35,864","35,874",1.18E-04,0.03,1440.31,"5,054",31/3/2012,15
China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,,142,"35,782","35,788",7.12E-05,0.12,1436.01,"5,200",16/10/2015,15
Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,,19.99,"35,766","35,805",4.63E-04,0.06,1436.06,"4,630",21/9/2011,15
